patch	commit	author	subject
0001-evdi-sync-with-the-safe-in-tree-driver.patch	cbecdcfc31245c2df538e1fc0d397877be99f63d	Mike Lothian <mike@fireburn.co.uk>	evdi: sync with the safe in-tree driver
0002-revdi-apply-the-workspace-Rust-style.patch	8f3f9adfeb785369b904cd62817a4dde217bcba9	Mike Lothian <mike@fireburn.co.uk>	revdi: apply the workspace Rust style
0003-chimera-sync-the-current-Vino-protocol-core.patch	3ef2be21ab7aedb2803785fbf20a060a25170233	Mike Lothian <mike@fireburn.co.uk>	chimera: sync the current Vino protocol core
0004-revdi-expose-an-owned-Rust-client-API.patch	df5257e2f78a25ac0eebc689df733199adef6d94	Mike Lothian <mike@fireburn.co.uk>	revdi: expose an owned Rust client API
0005-chimera-replace-the-bring-up-rig-with-a-Revdi-daemon.patch	18338396b42681ea597df71f73070ce7d39bc903	Mike Lothian <mike@fireburn.co.uk>	chimera: replace the bring-up rig with a Revdi daemon
0006-chimera-remove-the-obsolete-bring-up-experiment.patch	cee7059a3cac607a8c756baf6d1298f696ebe277	Mike Lothian <mike@fireburn.co.uk>	chimera: remove the obsolete bring-up experiment
0007-revdi-format-the-standalone-library-sources.patch	68e53b6bcfa9e4570c9e9dc2fde4b6d61f376a7e	Mike Lothian <mike@fireburn.co.uk>	revdi: format the standalone library sources
0008-revdi-keep-production-comments-in-sync-with-the-kern.patch	ffd8952e3b0e43c8382a5282b542ea27a6c19ffe	Mike Lothian <mike@fireburn.co.uk>	revdi: keep production comments in sync with the kernel
0009-revdi-expose-owned-display-events-to-Rust-clients.patch	5af92998d79d88681e7a1bc557820d6fa9e089d1	Mike Lothian <mike@fireburn.co.uk>	revdi: expose owned display events to Rust clients
0010-chimera-handle-cursor-and-display-power-events.patch	8753d0aa423b79cc5d3f04ac0a75f0f038b851dc	Mike Lothian <mike@fireburn.co.uk>	chimera: handle cursor and display power events
0011-chimera-tunnel-Revdi-DDC-CI-transactions.patch	1b7e5345656c8b44dd1eb0e6d1edcadf0ef36df3	Mike Lothian <mike@fireburn.co.uk>	chimera: tunnel Revdi DDC/CI transactions
0012-chimera-recover-display-topology-and-sessions.patch	ee9aece2e382c033aba00d5d8edbb0b763074ef5	Mike Lothian <mike@fireburn.co.uk>	chimera: recover display topology and sessions
0013-docs-describe-Chimera-runtime-integration.patch	93b04bdb0a513fd6776892be5a4451b53c7df4e8	Mike Lothian <mike@fireburn.co.uk>	docs: describe Chimera runtime integration
